,date,title_pos,title_neg,desc_pos,desc_neg,content_pos,content_neg
309,2017-12-28,1,0,1,0,1,0
310,2017-12-28,1,0,0,1,1,0
311,2017-12-28,1,0,1,0,0,0
312,2017-12-28,1,0,1,0,1,0
313,2017-12-28,1,0,1,0,1,0
314,2017-12-28,1,0,1,0,1,0
315,2017-12-29,1,0,1,0,1,0
316,2017-12-29,1,0,1,0,1,0
317,2017-12-29,1,0,1,0,1,0
318,2017-12-29,1,0,1,0,1,0
319,2017-12-29,0,1,0,1,1,0
320,2017-12-29,1,0,1,0,1,0
321,2017-12-30,0,1,0,1,1,0
322,2017-12-30,1,0,1,0,1,0
323,2017-12-30,1,0,0,1,1,0
324,2017-12-30,1,0,1,0,1,0
325,2017-12-30,0,1,1,0,1,0
326,2017-12-31,1,0,1,0,1,0
327,2017-12-31,1,0,1,0,1,0
328,2017-12-31,0,1,1,0,1,0
329,2017-12-31,0,1,0,1,1,0
330,2017-12-31,0,1,1,0,1,0
331,2017-12-31,1,0,1,0,1,0
332,2018-01-01,0,1,1,0,1,0
333,2018-01-01,1,0,1,0,1,0
334,2018-01-01,1,0,1,0,1,0
335,2018-01-01,1,0,1,0,1,0
336,2018-01-01,1,0,0,1,1,0
337,2018-01-01,1,0,1,0,1,0
338,2018-01-02,1,0,1,0,1,0
339,2018-01-02,0,1,1,0,1,0
340,2018-01-02,1,0,1,0,1,0
341,2018-01-02,1,0,1,0,1,0
342,2018-01-02,0,1,1,0,1,0
343,2018-01-03,1,0,1,0,1,0
344,2018-01-03,1,0,1,0,1,0
345,2018-01-03,1,0,1,0,1,0
346,2018-01-03,1,0,1,0,1,0
347,2018-01-03,0,1,1,0,1,0
348,2018-01-03,1,0,1,0,1,0
349,2018-01-03,1,0,1,0,1,0
350,2018-01-04,1,0,1,0,1,0
351,2018-01-04,1,0,1,0,1,0
352,2018-01-04,1,0,1,0,1,0
353,2018-01-04,1,0,1,0,1,0
354,2018-01-04,0,1,1,0,1,0
355,2018-01-04,1,0,1,0,0,0
356,2018-01-04,1,0,1,0,1,0
357,2018-01-04,1,0,1,0,1,0
358,2018-01-04,1,0,1,0,0,0
359,2018-01-05,1,0,1,0,1,0
360,2018-01-05,1,0,0,1,1,0
361,2018-01-05,1,0,1,0,0,0
362,2018-01-05,1,0,1,0,1,0
363,2018-01-05,0,1,1,0,1,0
364,2018-01-06,1,0,1,0,1,0
365,2018-01-06,1,0,1,0,1,0
366,2018-01-06,1,0,1,0,1,0
367,2018-01-07,0,1,1,0,1,0
368,2018-01-07,0,1,1,0,1,0
369,2018-01-07,1,0,1,0,1,0
370,2018-01-07,1,0,0,1,1,0
371,2018-01-08,1,0,0,1,1,0
372,2018-01-08,1,0,1,0,1,0
373,2018-01-08,1,0,1,0,1,0
374,2018-01-08,1,0,1,0,1,0
375,2018-01-08,0,1,0,1,1,0
376,2018-01-08,1,0,1,0,1,0
377,2018-01-08,1,0,1,0,1,0
378,2018-01-09,1,0,1,0,1,0
379,2018-01-09,1,0,1,0,1,0
380,2018-01-09,0,1,1,0,1,0
381,2018-01-09,1,0,1,0,1,0
382,2018-01-09,0,1,1,0,1,0
383,2018-01-09,0,1,1,0,1,0
384,2018-01-10,1,0,1,0,1,0
385,2018-01-10,1,0,1,0,1,0
386,2018-01-10,1,0,1,0,1,0
387,2018-01-10,1,0,1,0,1,0
388,2018-01-10,1,0,0,1,1,0
389,2018-01-10,1,0,1,0,1,0
390,2018-01-11,0,1,1,0,1,0
391,2018-01-11,0,1,1,0,1,0
392,2018-01-11,1,0,0,1,1,0
393,2018-01-11,1,0,1,0,1,0
394,2018-01-11,0,1,0,1,1,0
395,2018-01-12,1,0,1,0,1,0
396,2018-01-12,1,0,1,0,1,0
397,2018-01-12,1,0,1,0,1,0
398,2018-01-12,0,1,0,1,1,0
399,2018-01-12,1,0,1,0,1,0
400,2018-01-12,1,0,1,0,1,0
401,2018-01-13,1,0,0,1,1,0
402,2018-01-13,1,0,0,1,1,0
403,2018-01-13,1,0,0,1,1,0
404,2018-01-13,1,0,1,0,1,0
405,2018-01-13,1,0,1,0,1,0
406,2018-01-13,0,1,0,1,1,0
407,2018-01-14,1,0,1,0,1,0
408,2018-01-14,1,0,1,0,1,0
409,2018-01-15,1,0,1,0,1,0
410,2018-01-15,1,0,1,0,1,0
411,2018-01-14,1,0,1,0,1,0
412,2018-01-15,1,0,1,0,1,0
413,2018-01-15,0,1,1,0,1,0
414,2018-01-15,1,0,1,0,1,0
415,2018-01-15,1,0,1,0,1,0
416,2018-01-15,1,0,1,0,0,0
417,2018-01-16,0,1,1,0,1,0
418,2018-01-16,1,0,1,0,1,0
419,2018-01-16,1,0,1,0,1,0
420,2018-01-16,1,0,1,0,1,0
421,2018-01-16,1,0,0,1,1,0
422,2018-01-16,1,0,1,0,1,0
423,2018-01-17,1,0,1,0,1,0
424,2018-01-17,1,0,1,0,1,0
425,2018-01-17,1,0,1,0,1,0
426,2018-01-17,1,0,1,0,1,0
427,2018-01-17,0,1,1,0,1,0
428,2018-01-17,1,0,0,1,1,0
429,2018-01-18,1,0,1,0,1,0
430,2018-01-18,0,1,1,0,1,0
431,2018-01-18,1,0,1,0,0,0
432,2018-01-18,1,0,1,0,1,0
433,2018-01-18,1,0,1,0,1,0
434,2018-01-18,1,0,1,0,1,0
435,2018-01-19,1,0,1,0,1,0
436,2018-01-19,1,0,1,0,1,0
437,2018-01-19,1,0,1,0,1,0
438,2018-01-19,1,0,1,0,0,0
439,2018-01-19,1,0,1,0,1,0
440,2018-01-20,1,0,1,0,1,0
441,2018-01-20,0,1,0,1,1,0
442,2018-01-20,1,0,0,1,1,0
443,2018-01-20,1,0,1,0,1,0
444,2018-01-20,1,0,0,1,0,0
445,2018-01-20,1,0,1,0,1,0
446,2018-01-20,1,0,1,0,1,0
447,2018-01-21,1,0,1,0,1,0
448,2018-01-21,0,1,1,0,1,0
449,2018-01-21,1,0,1,0,1,0
450,2018-01-21,1,0,1,0,1,0
451,2018-01-21,1,0,1,0,1,0
452,2018-01-22,1,0,1,0,1,0
453,2018-01-22,0,1,1,0,1,0
454,2018-01-22,1,0,1,0,1,0
455,2018-01-22,1,0,1,0,1,0
456,2018-01-22,1,0,1,0,1,0
457,2018-01-22,1,0,0,1,1,0
458,2018-01-23,1,0,1,0,1,0
459,2018-01-23,1,0,1,0,1,0
460,2018-01-23,1,0,1,0,1,0
461,2018-01-23,0,1,1,0,1,0
462,2018-01-23,1,0,1,0,0,0
463,2018-01-23,1,0,1,0,1,0
464,2018-01-24,1,0,1,0,1,0
465,2018-01-24,1,0,1,0,0,0
466,2018-01-24,0,1,1,0,1,0
467,2018-01-24,0,1,0,1,1,0
468,2018-01-24,1,0,0,1,1,0
469,2018-01-25,1,0,1,0,0,0
470,2018-01-25,1,0,1,0,1,0
471,2018-01-25,1,0,1,0,1,0
472,2018-01-25,0,1,1,0,1,0
473,2018-01-25,1,0,1,0,1,0
474,2018-01-26,0,1,1,0,1,0
475,2018-01-26,0,1,0,1,1,0
476,2018-01-26,0,1,0,1,0,0
477,2018-01-26,1,0,1,0,1,0
478,2018-01-26,1,0,1,0,1,0
479,2018-01-26,1,0,1,0,1,0
480,2018-01-26,1,0,1,0,1,0
481,2018-01-27,1,0,1,0,1,0
482,2018-01-27,1,0,1,0,1,0
483,2018-01-27,1,0,1,0,1,0
484,2018-01-27,1,0,1,0,1,0
485,2018-01-27,1,0,1,0,1,0
486,2018-01-28,1,0,0,1,1,0
487,2018-01-28,1,0,1,0,1,0
488,2018-01-28,1,0,1,0,0,1
489,2018-01-28,1,0,1,0,0,1
490,2018-01-28,1,0,1,0,1,0
491,2018-01-29,0,1,1,0,1,0
492,2018-01-29,0,1,1,0,1,0
493,2018-01-29,1,0,1,0,1,0
494,2018-01-29,0,1,1,0,1,0
495,2018-01-29,1,0,0,1,1,0
496,2018-01-29,0,1,1,0,1,0
497,2018-01-30,1,0,1,0,1,0
498,2018-01-30,0,1,0,1,0,0
499,2018-01-30,0,1,1,0,1,0
500,2018-01-30,0,1,1,0,1,0
501,2018-01-30,1,0,1,0,1,0
502,2018-01-31,1,0,1,0,1,0
503,2018-01-31,1,0,1,0,1,0
504,2018-01-31,1,0,1,0,1,0
505,2018-01-31,1,0,1,0,1,0
506,2018-01-31,1,0,1,0,1,0
507,2018-01-31,1,0,0,1,1,0
508,2018-01-31,1,0,1,0,1,0
509,2018-01-31,1,0,1,0,1,0
510,2018-01-31,1,0,1,0,0,0
511,2018-02-01,1,0,1,0,1,0
512,2018-02-01,0,1,1,0,1,0
513,2018-02-01,0,1,1,0,1,0
514,2018-02-01,1,0,1,0,0,0
515,2018-02-01,0,1,0,1,1,0
516,2018-02-01,0,1,1,0,1,0
517,2018-02-01,1,0,1,0,1,0
518,2018-02-02,1,0,1,0,1,0
519,2018-02-02,1,0,1,0,1,0
520,2018-02-02,1,0,1,0,1,0
521,2018-02-02,1,0,1,0,1,0
522,2018-02-02,1,0,1,0,1,0
523,2018-02-02,1,0,1,0,1,0
524,2018-02-02,1,0,0,1,1,0
525,2018-02-02,1,0,1,0,1,0
526,2018-02-02,1,0,1,0,1,0
527,2018-02-02,1,0,1,0,1,0
528,2018-02-02,1,0,1,0,1,0
529,2018-02-02,1,0,0,1,1,0
530,2018-02-03,1,0,1,0,1,0
531,2018-02-03,1,0,1,0,0,0
532,2018-02-03,1,0,1,0,1,0
533,2018-02-03,1,0,1,0,1,0
534,2018-02-03,1,0,1,0,1,0
535,2018-02-04,1,0,1,0,1,0
536,2018-02-04,1,0,1,0,1,0
537,2018-02-04,1,0,1,0,0,0
538,2018-02-04,1,0,1,0,1,0
539,2018-02-04,1,0,1,0,1,0
540,2018-02-05,1,0,1,0,1,0
541,2018-02-05,1,0,1,0,1,0
542,2018-02-05,1,0,1,0,1,0
543,2018-02-05,0,1,0,1,1,0
544,2018-02-05,1,0,1,0,1,0
545,2018-02-05,1,0,0,1,1,0
546,2018-02-05,0,1,0,1,1,0
547,2018-02-06,1,0,1,0,1,0
548,2018-02-06,1,0,1,0,1,0
549,2018-02-06,1,0,1,0,0,0
550,2018-02-06,1,0,1,0,1,0
551,2018-02-06,1,0,1,0,1,0
552,2018-02-06,0,1,0,1,1,0
553,2018-02-06,1,0,1,0,1,0
554,2018-02-07,1,0,1,0,1,0
555,2018-02-07,1,0,1,0,1,0
556,2018-02-07,1,0,1,0,1,0
557,2018-02-07,0,1,1,0,1,0
558,2018-02-07,0,1,1,0,1,0
559,2018-02-07,1,0,1,0,1,0
560,2018-02-08,1,0,1,0,1,0
561,2018-02-08,1,0,1,0,1,0
562,2018-02-08,0,1,1,0,1,0
563,2018-02-08,0,1,1,0,1,0
